feature,gini_importance,perm_importance_mean,perm_importance_std
AP2DC_530,0.001944042085000969,-0.0004264344532447062,0.00048765346117569556
AP2DC_192,0.0019298645379061633,0.0003913936262483042,0.00030846025914715343
AP2DC_525,0.0019254999121334198,0.00037992804806881165,0.0005222394191080361
AP2DC_670,0.0019232817824400429,0.00013428810011734127,0.000261550497745465
AP2DC_257,0.0019061022983037177,-0.00024943506882704194,0.0002459280316090892
AP2DC_471,0.0018972456516642522,0.00013257312102793462,0.0003986488124761508
AP2DC_730,0.0018643727646707703,0.0002963182238663986,0.0003426625055334781
AP2DC_677,0.0018532976664450249,0.0006604792657958658,0.000353646586015043
AP2DC_492,0.0018501035965941977,-0.00038032554794912297,0.0004679189921349595
AP2DC_522,0.0018354556222654008,0.0004121037188547727,0.00039228317937569154
AP2DC_685,0.0018215067470119912,0.00019961414937337275,0.00032942828802292814
AP2DC_401,0.0018161337262900268,-0.0011772692600565127,0.0004109208081727822
AP2DC_258,0.0018158245841928566,5.517643573849096e-06,0.00043610349009085047
AP2DC_706,0.0018090090171095558,-0.0006388397175023485,0.0004003679144926463
AP2DC_43,0.0018080935358098116,-0.0005880617022720358,0.0005110399689586775
AP2DC_569,0.0018056912477914502,0.0005851993045090431,0.0006052087810193356
AP2DC_640,0.001800893790838429,-0.00030738772056634336,0.0006202224980106074
AP2DC_467,0.0017979895331563917,0.0013330436298165215,0.002177458251282393
AP2DC_284,0.0017629430871815546,0.0003611003398377721,0.0005571471959095371
AP2DC_529,0.0017575953615507351,5.194770531957715e-07,0.0009333646985157796
AP2DC_667,0.0017486737990897925,0.0006613439021393552,0.0004004544111880254
AP2DC_132,0.00174360772761822,-0.00040763976534838873,0.0003248206382665511
AP2DC_588,0.0017313942634421492,-0.0003819733785043855,0.0003093687464418914
AP2DC_11,0.0017157251592330334,-0.00011968689172587865,0.00022688205895213633
AP2DC_551,0.0017156920503717276,-0.00028209147594833174,0.0002883661524737496
AP2DC_692,0.0017154033630244765,0.0004277327811205489,0.00011227660987482423
AP2DC_76,0.0017048889864119466,-0.00036881456572941397,0.0007735745211121634
AP2DC_269,0.0016963862607112302,-0.0006166339579986135,0.0005107952132608295
