Split,Fingerprint,Model,R2_train,RMSE_train,MAE_train,R2_CV,RMSE_CV,MAE_CV,R2_test,RMSE_test,MAE_test,Time_s
Kennard-Stone,Substructure,Gradient Boosting,0.48851055761577233,0.8959872828962238,0.701065626649485,0.4022155292603544,0.9686253325632844,0.7619835189737987,0.21336345304825632,1.0976705161716152,0.8397222924354438,2.9735069274902344
Kennard-Stone,Substructure,XGBoost,0.6574902488357545,0.7331958173243794,0.5298654039804037,0.4584948380387065,0.9219021103106989,0.6990797512413162,0.334241616062687,1.0098183570805572,0.7633743577436555,1.989034652709961
Kennard-Stone,Substructure,Hist Gradient Boosting,0.6318657336440265,0.7601278252571912,0.5683801350856624,0.4566511283682857,0.9234702167823422,0.7070802215092526,0.32150901310260205,1.0194289921719293,0.7786639063114781,4.406451940536499
Kennard-Stone,Substructure,AdaBoost,0.2556432567618656,1.0808715161448033,0.8925332299912233,0.2485408136029884,1.0860159599133288,0.8915655566447541,0.06872399583489353,1.1943294616112026,0.948325016328344,0.3628382682800293
Kennard-Stone,Substructure,MLP,0.5991034776678923,0.7932309537844698,0.5955068899035855,0.4408719107924687,0.9367833517707216,0.7236422802015472,0.27327212816543744,1.0550446694240638,0.8135979358597064,18.63761067390442
Kennard-Stone,SubstructureCount,Ridge,0.27116574957708794,1.0695421274264894,0.8629644867705291,0.2464100240872774,1.0875545886083953,0.8771595638388908,0.03178831633994583,1.217783537296729,0.9598141478797904,0.03245234489440918
Kennard-Stone,SubstructureCount,Lasso,0.12228399722363847,1.1737092221044825,0.962697428201471,0.11529911256559644,1.178370170336506,0.9662297833324797,-0.1199732789222605,1.3097510935497991,1.0487343153900626,0.12788844108581543
Kennard-Stone,SubstructureCount,ElasticNet,0.16171012795608575,1.1470454280916351,0.9368453601196787,0.15153914583092398,1.153983006792717,0.9423196919561865,-0.06406848911956331,1.2766437703832085,1.0139199015513456,0.24792909622192383
Kennard-Stone,SubstructureCount,Bayesian Ridge,0.26819252808124516,1.0717214632052123,0.8660144693760875,0.2455279443424998,1.0881908957182775,0.8787290839116811,0.029536561836921882,1.2191988048037972,0.9594597188276015,0.19429707527160645
Kennard-Stone,SubstructureCount,PLS,0.26752879145546615,1.0722073693996221,0.8668733632831026,0.24123468250619784,1.09128263450499,0.8813516701726378,0.03677651187882436,1.2146424955740582,0.9567558551733142,0.07257294654846191
Kennard-Stone,SubstructureCount,KNN,0.6399082739244606,0.7517788093372619,0.5592573419151654,0.4487216494019439,0.9301842407745698,0.7046377871253273,0.442366510876108,0.924185952595678,0.7077190762667913,0.026449203491210938
Kennard-Stone,SubstructureCount,SVR (RBF),0.34221514993408564,1.0160742421748141,0.7918501558872644,0.3078710323116668,1.0422622824156265,0.8197931365407162,0.1036334478605917,1.171730569393021,0.8981857538923244,0.10596752166748047
Kennard-Stone,SubstructureCount,Kernel Ridge (RBF),0.5381765940471455,0.8513761473849337,0.6562196362030749,0.26075980694516576,1.0771502697179662,0.7969731431528956,0.23910991021748074,1.079557808442772,0.806130210085076,2.916973114013672
Kennard-Stone,SubstructureCount,Decision Tree,0.8891225916308686,0.4171622889727058,0.2043760622093955,0.2687348731931618,1.0713242613116614,0.7789029867839392,0.46766425286566005,0.9029792166188891,0.6512933275649441,0.1663980484008789
Kennard-Stone,SubstructureCount,Random Forest,0.8370180876612056,0.5057701722371144,0.3664759776981018,0.5194076885601748,0.8685041899377222,0.655469194715444,0.5297631961149043,0.8486785928561195,0.6400562322331806,4.591190576553345
Kennard-Stone,SubstructureCount,Extra Trees,0.8891225916308686,0.4171622889727058,0.2043760622094036,0.44876360122938985,0.9301488469747308,0.6839403144182762,0.47281594228731594,0.8985992948025379,0.6430842548832403,2.722017288208008
Kennard-Stone,SubstructureCount,Gradient Boosting,0.5810791421139834,0.8108667657543721,0.6319056723408827,0.4678238738493179,0.9139263576518553,0.7116316517342923,0.33747577204915047,1.0073625967369657,0.7831569344224343,4.644402027130127
Kennard-Stone,SubstructureCount,XGBoost,0.7680659851137643,0.6033450188402132,0.4397785806623774,0.5318385231463592,0.8571983884213925,0.6471946542615097,0.47561983989079026,0.8962064497506471,0.6855351724543823,1.475769281387329
Kennard-Stone,SubstructureCount,Hist Gradient Boosting,0.7968900614185382,0.5646106893487621,0.40826464156192704,0.5388486878702011,0.8507564159280139,0.6401048855880346,0.5248250298898656,0.8531231308581945,0.646134769057128,4.2967822551727295
Kennard-Stone,SubstructureCount,AdaBoost,0.31684123994592306,1.035486233502196,0.8600284381529825,0.2962847132308145,1.050949871164007,0.8653505896716845,0.1449360738212433,1.144416818104297,0.9153952370050704,0.6979954242706299
Kennard-Stone,SubstructureCount,MLP,0.634433559385841,0.7574721482393346,0.5691181302802272,0.4225256086552588,0.952028333139057,0.7273983141565162,0.3755972113444689,0.9779515878681427,0.7468892943294281,24.891807794570923
Kennard-Stone,KR,Ridge,0.47337433160582154,0.9091478589762201,0.7158202698264,0.4058672309264745,0.9656622670125434,0.7597934374868898,0.27439131394035043,1.0542319539656912,0.8055937512112427,0.04856371879577637
Kennard-Stone,KR,Lasso,0.08106863067992343,1.2009503338795795,0.9898935916927241,0.07929965934420313,1.202105711399395,0.9905636716849991,-0.05036800657452245,1.268398388757191,1.0157057184728577,0.14049148559570312
Kennard-Stone,KR,ElasticNet,0.16006285596969394,1.1481718692795952,0.9474166525308189,0.1548510314300402,1.151728573635569,0.9500259012219537,-0.05951821639419408,1.2739111920591484,1.01655752140805,0.37490296363830566
Kennard-Stone,KR,Bayesian Ridge,0.4563721479225614,0.9237072625229521,0.7298659191420583,0.405168451068901,0.9662299743362156,0.7647279313102601,0.24414923095107033,1.0759769525151452,0.8241696405553037,0.7630879878997803
