Split,Fingerprint,Model,Acc_train,BalAcc_train,F1_train,MCC_train,Acc_CV,BalAcc_CV,F1_CV,MCC_CV,Acc_test,BalAcc_test,F1_test,MCC_test,Time_s
Kennard-Stone,Substructure,MLP,0.6576479076479076,0.6428120135915922,0.6620281166973451,0.4800538279215719,0.5883838383838383,0.5552748265453995,0.5775490965986572,0.3576810700371452,0.531328320802005,0.5446833146638214,0.5310527492861762,0.3176860279937204,8.291033744812012
Kennard-Stone,SubstructureCount,Ridge Classifier,0.5371572871572872,0.5195958016281671,0.5367661400541974,0.2915673602602833,0.5144300144300145,0.49503517530647473,0.5135685078601324,0.25691243230832356,0.41228070175438597,0.4207345069918169,0.4146822826287018,0.13522212673675713,0.04722261428833008
Kennard-Stone,SubstructureCount,Logistic Reg (L1),0.536075036075036,0.5212745727124846,0.5377435757720539,0.29295543599739227,0.5097402597402597,0.49368677199033667,0.5109939027427008,0.25301630730564484,0.41854636591478694,0.42503222717647665,0.42114514992513435,0.13908990788127834,7.660248041152954
Kennard-Stone,SubstructureCount,Logistic Reg (EN),0.5364357864357865,0.5218345125068741,0.538112837753095,0.2937154151794291,0.509018759018759,0.4926533535604405,0.5100409953856244,0.25163447095559427,0.41478696741854637,0.4208947863918624,0.4179252642449348,0.13352921104670545,6.3630454540252686
Kennard-Stone,SubstructureCount,Naive Bayes,0.4531024531024531,0.45139450677665566,0.4561920703741242,0.18447346188660607,0.45165945165945165,0.4500323291750932,0.45303083488091467,0.18200991888945472,0.424812030075188,0.44474242817322746,0.4022686509182831,0.16757024270727616,0.029849529266357422
Kennard-Stone,SubstructureCount,LDA,0.5494227994227994,0.5061156525947729,0.526642786968566,0.290949105592285,0.534992784992785,0.49149049914099135,0.5117738363833031,0.26795637556741103,0.37969924812030076,0.39840520103678,0.3409062199228404,0.10969297937320906,0.061392784118652344
Kennard-Stone,SubstructureCount,KNN,0.7265512265512265,0.7116954871132081,0.7221427390648251,0.5855572377486504,0.5923520923520924,0.5691944983685759,0.5826724600221823,0.3764420858579002,0.62531328320802,0.6146924694682979,0.6145556255748922,0.434208749552729,0.16404223442077637
Kennard-Stone,SubstructureCount,SVC (RBF),0.27164502164502163,0.32849685295262593,0.12030560252719663,-0.02626995012021094,0.2730880230880231,0.32770527706773606,0.14241106576716722,-0.0179016162258241,0.30952380952380953,0.3327987801672012,0.15139274674700606,-0.007480941012707328,1.036546230316162
Kennard-Stone,SubstructureCount,SVC (Linear),0.34523809523809523,0.3882193458347671,0.3099092955204386,0.08127620745078747,0.3268398268398268,0.36262543844647604,0.2924508214199935,0.039995012025847994,0.33458646616541354,0.34290577662897354,0.26875419112441873,0.018353637943303233,0.5121431350708008
Kennard-Stone,SubstructureCount,Decision Tree,0.8953823953823954,0.895088287910002,0.8971387589902711,0.8433027289683142,0.5952380952380952,0.5784583586958395,0.601182121385607,0.3844803988503402,0.6353383458646616,0.6391427141914471,0.6409310087237596,0.4593659644687757,0.1359865665435791
Kennard-Stone,SubstructureCount,Random Forest,0.8953823953823954,0.8917781143901538,0.8962253925903363,0.8404894182924719,0.6367243867243867,0.6124749822575419,0.6346365817941896,0.44157625389683375,0.6428571428571429,0.6425621883711553,0.6467017269004293,0.46309134121938383,6.054904460906982
Kennard-Stone,SubstructureCount,Extra Trees,0.8953823953823954,0.895088287910002,0.8971387589902711,0.8433027289683142,0.6284271284271284,0.6056573056109619,0.6297188969960876,0.43015110973619053,0.6441102756892231,0.6483443457127667,0.64912225619529,0.4729180016706027,4.872668981552124
Kennard-Stone,SubstructureCount,Gradient Boosting,0.7326839826839827,0.7031812273388965,0.7223332036609108,0.5872191373008244,0.6222943722943723,0.5869085800622162,0.6072591897488205,0.4121166852116291,0.5789473684210527,0.5780786428934577,0.5717675969864817,0.36854246488054404,17.02694010734558
Kennard-Stone,SubstructureCount,XGBoost,0.8326118326118326,0.8145641008901611,0.8293644681285812,0.7424215542316805,0.6381673881673882,0.6096679939937536,0.6323069235843415,0.44050347192495015,0.6378446115288221,0.634155985520508,0.6322725618130459,0.4531148025321813,2.5931766033172607
Kennard-Stone,SubstructureCount,Hist Gradient Boosting,0.8943001443001443,0.8846611737252785,0.8937699046026009,0.8374098120297451,0.6345598845598845,0.6106677566082861,0.6321549278719995,0.43753026955650887,0.6428571428571429,0.6396658716346825,0.6404787884593566,0.46096850627008434,16.536202669143677
Kennard-Stone,SubstructureCount,AdaBoost,0.5627705627705628,0.5154905639186307,0.5315067765922789,0.3139345187313224,0.5461760461760462,0.501711250274591,0.5170329851445264,0.2874083406578059,0.44110275689223055,0.4471812931851919,0.4101019213061999,0.18491006939236213,3.7671546936035156
Kennard-Stone,SubstructureCount,MLP,0.597041847041847,0.5505102450066002,0.5597681715032186,0.37353970109456636,0.5725108225108225,0.5288658794520665,0.5465267174114848,0.330558798768153,0.5350877192982456,0.5245631200796893,0.469273202263238,0.3176064980315247,7.340597867965698
Kennard-Stone,KR,Ridge Classifier,0.6291486291486291,0.6155906204291686,0.6303192402126512,0.4346351294830204,0.5757575757575758,0.5612435455968611,0.5775768212926292,0.3539627454797524,0.5526315789473685,0.5517671087846526,0.5548318880383356,0.32609516011292655,0.06429243087768555
Kennard-Stone,KR,Logistic Reg (L1),0.6316738816738817,0.621947544426815,0.6345552193876097,0.44102155891101685,0.5725108225108225,0.5627846587752898,0.5770832351432053,0.352972891993506,0.5588972431077694,0.5563765344467099,0.5605895562363608,0.3343284413999334,22.495352268218994
Kennard-Stone,KR,Logistic Reg (EN),0.6313131313131313,0.6218514696445006,0.6343861974702,0.4406713696731558,0.5725108225108225,0.5628032480057832,0.5771675148198463,0.35305322511200293,0.5614035087719298,0.5590755897773442,0.5635788442625551,0.3386673280786354,21.610440254211426
Kennard-Stone,KR,Naive Bayes,0.4953102453102453,0.49128594892391586,0.48872354201693596,0.24983769224764277,0.47619047619047616,0.47087822356867176,0.47046259855455197,0.2193028531128689,0.4899749373433584,0.4909497224312039,0.48286289180116193,0.23651574727785324,0.0728306770324707
Kennard-Stone,KR,LDA,0.6367243867243867,0.6081225213380327,0.6314778267058747,0.4363289159292294,0.5873015873015873,0.559075791898508,0.5828918924911772,0.36003578541063513,0.5275689223057645,0.5346865970647647,0.5231501590825967,0.2988260619315892,0.9574775695800781
Kennard-Stone,KR,KNN,0.7168109668109668,0.6973729865748703,0.7075315669209749,0.569901971906721,0.586940836940837,0.5615921411131712,0.5736533567019929,0.36555156434594727,0.6115288220551378,0.5934108127090583,0.5836976009366143,0.4207433814863087,0.35692310333251953
Kennard-Stone,KR,SVC (RBF),0.2846320346320346,0.3435902146290683,0.14334234914549832,0.04166633303400727,0.2893217893217893,0.3479690872573961,0.1539587858904323,0.05844836104796479,0.31203007518796994,0.3354978354978355,0.15195626846669388,0.02231999795703461,2.7792294025421143
Kennard-Stone,KR,SVC (Linear),0.39574314574314573,0.4134142887543524,0.3745213041435457,0.13648820668348993,0.37842712842712845,0.39978089469559697,0.3696917452184288,0.10396114330081954,0.42857142857142855,0.39553984388292385,0.3749928234740469,0.11957983482721797,1.1649105548858643
Kennard-Stone,KR,Decision Tree,0.9040404040404041,0.9036231901346258,0.9055243749348563,0.8559210023817729,0.5764790764790765,0.5621291159330689,0.5816692467991573,0.3553951488749515,0.6303258145363408,0.6309829799108551,0.6373738182104645,0.4480235092150031,0.18916940689086914
Kennard-Stone,KR,Random Forest,0.9044011544011544,0.9010774379445939,0.9051809372895699,0.8541710539291213,0.6266233766233766,0.6037101139909327,0.6245802218304731,0.4246584136894925,0.6353383458646616,0.6333737015998224,0.6391254545309609,0.4504258372684703,5.8414130210876465
Kennard-Stone,KR,Extra Trees,0.9040404040404041,0.9036231901346258,0.9055243749348563,0.8559210023817729,0.6262626262626263,0.6054202165590227,0.6266878176238294,0.42589043199442256,0.6340852130325815,0.6353210539370383,0.6409372438822157,0.45474494840105395,7.8051252365112305
Kennard-Stone,KR,Gradient Boosting,0.7406204906204906,0.718953170935936,0.7369766413987372,0.598569999755597,0.6150793650793651,0.5863164267670894,0.6079185059797618,0.40252488047319346,0.5827067669172933,0.5798557265418864,0.5792324836397948,0.37172987235227994,25.944381713867188
Kennard-Stone,KR,XGBoost,0.8416305916305916,0.828558708007091,0.8408422984778098,0.75587012084862,0.6381673881673882,0.6118143967363637,0.6329915751369369,0.43991808529148996,0.6328320802005013,0.6290480691065486,0.6323190096431883,0.44517794530530674,3.488349199295044
Kennard-Stone,KR,Hist Gradient Boosting,0.9004329004329005,0.8923934278602482,0.9001113019713751,0.8469283837747987,0.6334776334776335,0.6101815357195001,0.6309689881124632,0.43427648606287184,0.6365914786967418,0.6318491269758327,0.6334562121679309,0.4506350425094205,36.81754517555237
Kennard-Stone,KR,AdaBoost,0.5822510822510822,0.5376081641080764,0.5500202816623194,0.3484672241675021,0.5642135642135642,0.5224990978303937,0.5396850456669334,0.31695337019845266,0.5037593984962406,0.4941225116663713,0.4593307157614647,0.2581456866395844,5.611857652664185
Kennard-Stone,KR,MLP,0.8398268398268398,0.8168444111591485,0.8336624870935111,0.756299142066382,0.6266233766233766,0.5990956723440003,0.6186048409978029,0.4223033673906045,0.62531328320802,0.6173853400948918,0.5958122253959329,0.44539203013071793,7.988021612167358
Kennard-Stone,KR_Count,Ridge Classifier,0.6248196248196248,0.6073859359575434,0.6235671927434269,0.4253792934509769,0.5862193362193362,0.568223954373407,0.5852107049094688,0.3670194475785219,0.5513784461152882,0.5451831216938429,0.5485869974646355,0.3208979279642287,0.0666658878326416
Kennard-Stone,KR_Count,Logistic Reg (L1),0.6165223665223665,0.6031655570784807,0.6184679433140168,0.4157016557979455,0.5746753246753247,0.5608009881626456,0.5780543732699325,0.35297511278701044,0.5401002506265664,0.5329270036872377,0.5431041523366776,0.304468718454694,22.360941171646118
Kennard-Stone,KR_Count,Logistic Reg (EN),0.6161616161616161,0.6028900749848168,0.6181204655032647,0.41515078937769906,0.5764790764790765,0.5626608528735336,0.5799974232417234,0.3558691583110569,0.5401002506265664,0.5329270036872377,0.5431041523366776,0.304468718454694,22.41887903213501
Kennard-Stone,KR_Count,Naive Bayes,0.4668109668109668,0.471067060147448,0.45266418575375716,0.227671311750301,0.4595959595959596,0.46164288239240014,0.4474972416446491,0.2131218750495777,0.487468671679198,0.47504374551158174,0.46406555465391475,0.22309280381365074,0.053232669830322266
Kennard-Stone,KR_Count,LDA,0.6334776334776335,0.6009357946956584,0.623799124434425,0.4295558415305303,0.6020923520923521,0.569602780045176,0.5932878148247409,0.38098710372347466,0.5238095238095238,0.5217068145918048,0.514477309127314,0.2854832644513142,0.19559264183044434
Kennard-Stone,KR_Count,KNN,0.7352092352092352,0.7190795885477616,0.7285562764237106,0.5981664679360077,0.5829725829725829,0.5584874811608947,0.5694228148620533,0.36074505120713096,0.6228070175438597,0.6100114058203726,0.6099911779166218,0.4312548739288005,0.23746156692504883
Kennard-Stone,KR_Count,SVC (RBF),0.2875180375180375,0.33999294097242444,0.2076931858289598,0.014911406815148067,0.2756132756132756,0.3332961548723467,0.12051809988070149,-0.000613672247706607,0.39348370927318294,0.36245578838171433,0.32449843038899345,0.060974450790165974,1.598895788192749
Kennard-Stone,KR_Count,SVC (Linear),0.29292929292929293,0.33629177186255266,0.24505842546477513,0.008783948586968716,0.3297258297258297,0.35311811251839814,0.32106602276296864,0.03454408233522777,0.3634085213032581,0.32572405574354896,0.27299684725273216,-0.018955976990700136,0.8776469230651855
Kennard-Stone,KR_Count,Decision Tree,0.9375901875901876,0.9376046992996315,0.9383489210987473,0.9062376956774939,0.588023088023088,0.5707893440927835,0.5905491612436015,0.3699407275236277,0.6553884711779449,0.6608913611837589,0.6598064228416155,0.4942410760047253,0.27637267112731934
Kennard-Stone,KR_Count,Random Forest,0.937950937950938,0.9352504586578586,0.9382553933378338,0.9050477291288112,0.636002886002886,0.6100620730283297,0.6310428303184835,0.4374831916480404,0.6679197994987469,0.6638288611972822,0.6704889081296116,0.498925466765366,6.549041509628296
