Split,Fingerprint,Model,R2_train,RMSE_train,MAE_train,R2_CV,RMSE_CV,MAE_CV,R2_test,RMSE_test,MAE_test,Time_s
Random,CDK_GraphOnly,PLS,,,,,,,,,,0.0029773712158203125
Random,CDK_GraphOnly,KNN,-0.22859912782809055,1.3889577304365557,1.111433605644233,-0.04882083997804498,1.2833188752359581,1.0230938191840415,-0.18024791114414285,1.4060859134071992,1.1024962080478486,0.0260164737701416
Random,CDK_GraphOnly,SVR (RBF),0.18651730474697303,1.130207246025715,0.8896425321871938,0.16554727068973452,1.144681852394138,0.9071546189130572,0.18175697805949165,1.1707560002827415,0.909920274927892,0.22778582572937012
Random,CDK_GraphOnly,Kernel Ridge (RBF),0.17945869480230603,1.1351000735989298,0.9124380976504266,0.16625495725737993,1.1441963558711898,0.9204437234180657,0.18103090262032795,1.1712753256307042,0.9261764877031221,1.9659554958343506
Random,CDK_GraphOnly,Decision Tree,0.20130393900285926,1.1198882788563145,0.8911159010522128,0.17173918733279292,1.140426984631964,0.909093499825434,0.20157595011808738,1.156490427056428,0.9043045309859318,0.024829864501953125
Random,CDK_GraphOnly,Random Forest,0.2009899185486621,1.1201084084424915,0.8922974382613418,0.1724805578469225,1.139916476222477,0.9092644995033331,0.20416751325658944,1.1546120054559936,0.9036332994900331,3.264291763305664
Random,CDK_GraphOnly,Extra Trees,0.20130393900285926,1.1198882788563145,0.8911159010522129,0.17173550953895433,1.1404295165944915,0.9090517447491455,0.2015759501180876,1.156490427056428,0.9043045309859318,2.8099253177642822
Random,CDK_GraphOnly,Gradient Boosting,0.19525450229843955,1.124121374410839,0.8991952937003128,0.1713490867069365,1.1406955165379644,0.9136000737826281,0.1912602336185676,1.163937434723525,0.9159839068711019,1.6094121932983398
Random,CDK_GraphOnly,XGBoost,0.2013027294840829,1.119889126816793,0.8911649008468131,0.17113347432374781,1.1408439095936036,0.9099249462232607,0.20385250852055437,1.1548404908927046,0.9033945107141892,1.1477808952331543
Random,CDK_GraphOnly,Hist Gradient Boosting,0.19889068309083702,1.1215788710380072,0.8944985904301999,0.17267406451528533,1.1397831897249304,0.9106250615259585,0.20065690916060475,1.1571558356125957,0.9070275330943589,2.4434406757354736
Random,CDK_GraphOnly,AdaBoost,0.1435204607011059,1.1596913667965834,0.9433511254865112,0.127657116319026,1.1703817447583487,0.9524397442755499,0.13775682707245762,1.2018219158354206,0.9625859477447463,0.21443915367126465
Random,CDK_GraphOnly,MLP,0.19013322462181115,1.1276925703209564,0.9018213602609401,0.1719949978746521,1.140250859086995,0.9136602690382284,0.18997787156106993,1.164859856286474,0.9163211623341733,13.415210008621216
