molecule_chembl_id,molecule_pref_name,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_description,assay_type,target_chembl_id,target_pref_name,target_organism,document_chembl_id,document_journal,document_year,activity_id,inchi_key,bioactivity_class
CHEMBL1094426,,Fc1ccc(-n2cc(Cn3ccnc3)c3ccccc32)cc1,IC50,=,71.8,nM,7.14,CHEMBL1105634,Inhibition of human placental microsome CYP19,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1157768,Bioorg Med Chem Lett,2010,3290684,LRCVSYHISIBJSF-UHFFFAOYSA-N,active
CHEMBL1094427,,O=c1c(-c2ccccc2)c(SCc2ccncc2)oc2cc(OCc3ccc(-c4ccccc4)cc3)ccc12,IC50,=,85.0,nM,7.07,CHEMBL1105634,Inhibition of human placental microsome CYP19,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1157768,Bioorg Med Chem Lett,2010,3290686,ZUCARDAJOVLPMS-UHFFFAOYSA-N,active
CHEMBL1094428,,CCn1cc(C(c2ccccc2)n2ccnc2)c2cc(Br)ccc21,IC50,=,102.045,nM,6.99,CHEMBL1105634,Inhibition of human placental microsome CYP19,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1157768,Bioorg Med Chem Lett,2010,3290687,ZHCFTAIJXUXUPH-UHFFFAOYSA-N,intermediate
CHEMBL1095413,,O=C1/C(=C\c2cccnc2)C(c2ccc(OC(F)(F)F)cc2)n2cccc21,IC50,=,820.0,nM,6.6,CHEMBL1105634,Inhibition of human placental microsome CYP19,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1157768,Bioorg Med Chem Lett,2010,3290682,NUADOLYUKJMRKY-WJDWOHSUSA-N,intermediate
CHEMBL1096024,,COc1ccc2c(c1)C(N)=C(CC1=CCNC=C1)C2=O,IC50,=,1751.75,nM,5.46,CHEMBL645584,Inhibition of human aromatase cytochrome P450 19A1 activity,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1130802,Bioorg Med Chem Lett,1998,1133058,FUPJASKVSALSLR-UHFFFAOYSA-N,inactive
CHEMBL1096024,,COc1ccc2c(c1)C(N)=C(CC1=CCNC=C1)C2=O,Ki,=,86.2,nM,7.06,CHEMBL649356,Inhibition constant for human aromatase cytochrome P450 19A1 activity,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1130802,Bioorg Med Chem Lett,1998,1133059,FUPJASKVSALSLR-UHFFFAOYSA-N,active
CHEMBL1096439,,COc1ccc(C2=C(c3ccc(OC)c(OC)c3)C(=O)OC2)cc1,IC50,=,6.9,nM,8.16,CHEMBL1105634,Inhibition of human placental microsome CYP19,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1157768,Bioorg Med Chem Lett,2010,3290709,SPEPBRXGJOHWET-UHFFFAOYSA-N,active
CHEMBL1096744,,O=C1c2ccc(Oc3ccccc3)cc2OC(SCc2cccnc2)C1c1ccccc1,IC50,=,210.0,nM,6.68,CHEMBL1105634,Inhibition of human placental microsome CYP19,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1157768,Bioorg Med Chem Lett,2010,3290697,NPRHWIYPJGTPNE-UHFFFAOYSA-N,intermediate
CHEMBL1097041,,Cn1c(=O)sc2cc(C(c3ccccc3)n3ccnc3)ccc21,IC50,=,13.0,nM,7.89,CHEMBL1105634,Inhibition of human placental microsome CYP19,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1157768,Bioorg Med Chem Lett,2010,3290678,MUKNPHBYMDLDHT-UHFFFAOYSA-N,active
CHEMBL1097042,,O=c1cc(-c2ccccc2)oc2c1ccc1cccc(O)c12,IC50,=,20.0,nM,7.7,CHEMBL1105634,Inhibition of human placental microsome CYP19,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1157768,Bioorg Med Chem Lett,2010,3290680,UQEKEVFKEDHKOB-UHFFFAOYSA-N,active
