molecule_chembl_id,pchembl_value,activity_class
CHEMBL204483,7.53,Active
CHEMBL204501,5.92,Intermediate
CHEMBL204502,6.02,Intermediate
CHEMBL205177,7.71,Active
CHEMBL2051951,4.72,Inactive
CHEMBL205503,5.82,Intermediate
CHEMBL2057976,5.64,Intermediate
CHEMBL2058266,5.7525,Intermediate
CHEMBL2058266,7.07,Active
CHEMBL2058267,5.76,Intermediate
CHEMBL2058267,5.02,Intermediate
CHEMBL2058268,5.94,Intermediate
CHEMBL205881,5.39,Intermediate
CHEMBL206070,5.45,Intermediate
CHEMBL206283,5.22,Intermediate
CHEMBL206351,6.09,Intermediate
CHEMBL206550,5.75,Intermediate
CHEMBL209047,5.39,Intermediate
CHEMBL209073,6.58,Active
CHEMBL2096872,5.0,Intermediate
CHEMBL2096873,5.55,Intermediate
CHEMBL209731,7.16,Active
CHEMBL2105261,6.625,Active
CHEMBL2105261,8.143333333333333,Active
CHEMBL2111801,5.52,Intermediate
CHEMBL2111917,6.16,Intermediate
CHEMBL2111917,7.22,Active
CHEMBL211207,6.47,Intermediate
CHEMBL2112309,4.58,Inactive
CHEMBL2112738,4.96,Inactive
CHEMBL2112739,6.0,Intermediate
CHEMBL2112739,7.05,Active
CHEMBL2113268,6.12,Intermediate
CHEMBL2113269,7.07,Active
CHEMBL2113272,7.66,Active
CHEMBL2113524,5.57,Intermediate
CHEMBL2113619,5.43,Intermediate
CHEMBL212168,6.33,Intermediate
CHEMBL212473,7.1,Active
CHEMBL212741,4.61,Inactive
CHEMBL213587,7.15,Active
CHEMBL213588,7.35,Active
CHEMBL214932,6.51,Active
CHEMBL2163639,6.64,Active
CHEMBL2163641,7.77,Active
CHEMBL2163646,7.37,Active
CHEMBL2165313,5.51,Intermediate
CHEMBL2165314,6.35,Intermediate
CHEMBL2165315,7.31,Active
CHEMBL2165316,6.31,Intermediate
CHEMBL2165317,7.32,Active
CHEMBL2165318,6.79,Active
CHEMBL2165319,7.66,Active
CHEMBL2165320,7.46,Active
CHEMBL2165321,7.96,Active
CHEMBL2165322,5.54,Intermediate
CHEMBL2165323,6.41,Intermediate
CHEMBL2165324,6.02,Intermediate
CHEMBL2165325,6.56,Active
CHEMBL2179107,5.745,Intermediate
CHEMBL2179108,5.495,Intermediate
CHEMBL2179109,6.95,Active
CHEMBL2179110,7.925,Active
CHEMBL2179111,7.08,Active
CHEMBL2179112,6.74,Active
CHEMBL2179113,5.66,Intermediate
CHEMBL220774,6.54,Active
CHEMBL220792,5.62,Intermediate
CHEMBL220793,6.48,Intermediate
CHEMBL220829,5.23,Intermediate
CHEMBL220885,5.24,Intermediate
CHEMBL220886,6.43,Intermediate
CHEMBL222189,5.93,Intermediate
CHEMBL222250,6.09,Intermediate
CHEMBL222260,5.63,Intermediate
CHEMBL223108,5.67,Intermediate
CHEMBL223109,6.4,Intermediate
CHEMBL223161,5.66,Intermediate
CHEMBL223162,6.58,Active
CHEMBL223176,6.84,Active
CHEMBL223368,6.48,Intermediate
CHEMBL223369,5.11,Intermediate
CHEMBL223421,5.13,Intermediate
CHEMBL223452,6.54,Active
CHEMBL223554,7.23,Active
CHEMBL223555,7.02,Active
CHEMBL2235950,6.26,Intermediate
CHEMBL2235951,5.87,Intermediate
CHEMBL2235952,5.96,Intermediate
CHEMBL2235953,6.16,Intermediate
CHEMBL223607,5.43,Intermediate
CHEMBL223874,7.13,Active
CHEMBL223929,4.5,Inactive
CHEMBL223983,4.5,Inactive
CHEMBL224037,6.33,Intermediate
CHEMBL224228,6.543333333333333,Active
CHEMBL224391,7.74,Active
CHEMBL224462,7.03,Active
CHEMBL224600,5.95,Intermediate
CHEMBL224649,6.17,Intermediate
CHEMBL224665,8.64,Active
CHEMBL224786,5.29,Intermediate
CHEMBL224787,6.97,Active
CHEMBL224789,7.67,Active
CHEMBL224790,8.24,Active
CHEMBL22485,5.38,Intermediate
CHEMBL225053,7.43,Active
CHEMBL225079,6.96,Active
CHEMBL225128,7.02,Active
CHEMBL225178,6.12,Intermediate
CHEMBL225360,6.83,Active
CHEMBL225378,6.06,Intermediate
CHEMBL225447,5.546666666666667,Intermediate
CHEMBL225472,6.55,Active
