molecule_chembl_id,pchembl_value,activity_class
CHEMBL5289279,6.28,Intermediate
CHEMBL5412416,9.55,Active
CHEMBL5426878,5.15,Intermediate
CHEMBL3622073,7.68,Active
CHEMBL5288430,4.19,Inactive
CHEMBL5426175,7.0,Active
CHEMBL1824768,4.81,Inactive
CHEMBL3421767,6.86,Active
CHEMBL3422047,5.43,Intermediate
CHEMBL1784809,7.0,Active
CHEMBL3926174,5.33,Intermediate
CHEMBL40432,7.52,Active
CHEMBL4167569,7.08,Active
CHEMBL348154,5.07,Intermediate
CHEMBL5177269,9.29,Active
CHEMBL5279864,4.88,Inactive
CHEMBL4439561,5.56,Intermediate
CHEMBL225378,6.06,Intermediate
CHEMBL421491,4.35,Inactive
CHEMBL2058266,7.07,Active
CHEMBL285809,6.44,Intermediate
CHEMBL5423113,4.55,Inactive
CHEMBL495567,7.12,Active
CHEMBL3245356,7.51,Active
CHEMBL281433,9.0,Active
CHEMBL5285813,4.33,Inactive
CHEMBL2165321,7.96,Active
CHEMBL3105521,4.48,Inactive
CHEMBL5395753,8.55,Active
CHEMBL404981,5.93,Intermediate
CHEMBL4228303,5.48,Intermediate
CHEMBL229789,5.39,Intermediate
CHEMBL1171987,5.55,Intermediate
CHEMBL3623219,6.32,Intermediate
CHEMBL1688909,7.09,Active
CHEMBL1915156,4.2,Inactive
CHEMBL229945,4.86,Inactive
CHEMBL4163983,5.46,Intermediate
CHEMBL5417761,5.66,Intermediate
CHEMBL5413770,8.8,Active
CHEMBL5289628,5.21,Intermediate
CHEMBL5432857,6.07,Intermediate
CHEMBL25735,5.89,Intermediate
CHEMBL5413902,6.23,Intermediate
CHEMBL5092843,5.49,Intermediate
CHEMBL285155,5.24,Intermediate
CHEMBL5440376,6.24,Intermediate
CHEMBL1688897,6.75,Active
CHEMBL296617,6.03,Intermediate
CHEMBL3264679,4.9,Inactive
CHEMBL367149,4.48,Inactive
CHEMBL157925,5.43,Intermediate
CHEMBL3422042,6.76,Active
CHEMBL3326522,6.83,Active
CHEMBL67441,7.55,Active
CHEMBL3753169,8.06,Active
CHEMBL299613,4.7,Inactive
CHEMBL5271680,6.05,Intermediate
CHEMBL5408745,6.01,Intermediate
CHEMBL225472,6.55,Active
CHEMBL597403,7.76,Active
CHEMBL3349864,7.6,Active
CHEMBL5434747,5.41,Intermediate
CHEMBL334391,6.28,Intermediate
CHEMBL1630263,7.16,Active
CHEMBL3622065,8.57,Active
CHEMBL489360,6.58,Active
CHEMBL3359965,4.5,Inactive
CHEMBL1601919,7.2,Active
CHEMBL5417020,4.26,Inactive
CHEMBL23394,5.89,Intermediate
CHEMBL4159550,5.55,Intermediate
CHEMBL133026,6.84,Active
CHEMBL302305,4.96,Inactive
CHEMBL5427513,6.84,Active
CHEMBL226843,8.12,Active
CHEMBL598020,6.42,Intermediate
CHEMBL3105522,4.7,Inactive
CHEMBL5425854,5.07,Intermediate
CHEMBL149238,6.1,Intermediate
CHEMBL3753398,5.92,Intermediate
CHEMBL135633,6.49,Intermediate
CHEMBL367719,6.72,Active
CHEMBL1784813,6.3,Intermediate
CHEMBL427247,5.68,Intermediate
CHEMBL3754455,7.0,Active
CHEMBL4229074,5.52,Intermediate
CHEMBL3245356,7.51,Active
CHEMBL5285274,4.47,Inactive
CHEMBL1195457,6.8,Active
CHEMBL3752770,8.7,Active
CHEMBL388515,7.02,Active
CHEMBL5398810,4.48,Inactive
CHEMBL3421785,6.89,Active
CHEMBL3754779,7.92,Active
CHEMBL1672977,9.82,Active
CHEMBL5179009,9.14,Active
CHEMBL3264675,4.9,Inactive
CHEMBL3752556,7.0,Active
CHEMBL317581,7.52,Active
CHEMBL3754184,7.0,Active
CHEMBL68674,5.52,Intermediate
CHEMBL5281692,7.0,Active
CHEMBL5286772,6.68,Active
CHEMBL4564431,5.06,Intermediate
CHEMBL225497,6.03,Intermediate
CHEMBL132530,7.596666666666667,Active
CHEMBL2003274,5.28,Intermediate
CHEMBL2312968,5.67,Intermediate
CHEMBL350072,7.66,Active
CHEMBL3754425,5.92,Intermediate
CHEMBL3805481,7.85,Active
CHEMBL3752805,5.4,Intermediate
CHEMBL3359956,6.19,Intermediate
CHEMBL282673,6.62,Active
CHEMBL514745,6.3,Intermediate
CHEMBL1170663,5.63,Intermediate
CHEMBL176539,5.7,Intermediate
CHEMBL519436,8.629999999999999,Active
CHEMBL5559711,5.5,Intermediate
CHEMBL302530,4.99,Inactive
CHEMBL5289229,5.58,Intermediate
CHEMBL172263,5.5,Intermediate
CHEMBL29338,5.77,Intermediate
CHEMBL8659,4.49,Inactive
CHEMBL5291258,4.48,Inactive
CHEMBL2443349,6.96,Active
CHEMBL3359955,6.23,Intermediate
CHEMBL481091,8.74,Active
CHEMBL1688915,7.17,Active
CHEMBL5408823,7.94,Active
CHEMBL3623218,7.35,Active
CHEMBL282673,8.34,Active
CHEMBL1628064,4.05,Inactive
CHEMBL598629,6.56,Active
CHEMBL3134110,6.0,Intermediate
