molecule_chembl_id,CDKGraph_41,CDKGraph_104,CDKGraph_189,CDKGraph_264,CDKGraph_303,CDKGraph_497,CDKGraph_806,CDKGraph_977,CDKGraph_1017
CHEMBL1630263,1,1,1,1,1,1,1,1,1
CHEMBL1630263,1,1,1,1,1,1,1,1,1
CHEMBL1630264,1,1,1,1,1,1,1,1,1
CHEMBL1630264,1,1,1,1,1,1,1,1,1
CHEMBL1630264,1,1,1,1,1,1,1,1,1
CHEMBL1630265,1,1,1,1,1,1,1,1,1
CHEMBL1630265,1,1,1,1,1,1,1,1,1
CHEMBL1630266,1,1,1,1,1,1,1,1,1
CHEMBL1630266,1,1,1,1,1,1,1,1,1
CHEMBL1630266,1,1,1,1,1,1,1,1,1
CHEMBL1630267,1,1,1,1,1,1,1,1,1
CHEMBL1630267,1,1,1,1,1,1,1,1,1
CHEMBL1630267,1,1,1,1,1,1,1,1,1
CHEMBL1630268,1,1,1,1,1,1,1,1,1
CHEMBL1630268,1,1,1,1,1,1,1,1,1
CHEMBL1630269,1,1,1,1,1,1,1,1,1
CHEMBL1630269,1,1,1,1,1,1,1,1,1
CHEMBL1630270,1,1,1,1,1,1,1,1,1
CHEMBL1630270,1,1,1,1,1,1,1,1,1
CHEMBL1630271,1,1,1,1,1,1,1,1,1
CHEMBL1630271,1,1,1,1,1,1,1,1,1
CHEMBL1630272,1,1,1,1,1,1,1,1,1
CHEMBL1630272,1,1,1,1,1,1,1,1,1
CHEMBL1630273,1,1,1,1,1,1,1,1,1
CHEMBL1630273,1,1,1,1,1,1,1,1,1
CHEMBL1630273,1,1,1,1,1,1,1,1,1
CHEMBL1630274,1,1,1,1,1,1,1,1,1
CHEMBL1630274,1,1,1,1,1,1,1,1,1
CHEMBL1630274,1,1,1,1,1,1,1,1,1
CHEMBL1630275,1,1,1,1,1,1,1,1,1
CHEMBL1630275,1,1,1,1,1,1,1,1,1
CHEMBL1630276,1,1,1,1,1,1,1,1,1
CHEMBL1630276,1,1,1,1,1,1,1,1,1
CHEMBL1630277,1,1,1,1,1,1,1,1,1
CHEMBL1630277,1,1,1,1,1,1,1,1,1
CHEMBL1630278,1,1,1,1,1,1,1,1,1
CHEMBL1630278,1,1,1,1,1,1,1,1,1
CHEMBL1630279,1,1,1,1,1,1,1,1,1
CHEMBL1630279,1,1,1,1,1,1,1,1,1
CHEMBL1630280,1,1,1,1,1,1,1,1,1
CHEMBL1630280,1,1,1,1,1,1,1,1,1
CHEMBL1630280,1,1,1,1,1,1,1,1,1
CHEMBL1630909,0,1,1,1,0,0,0,1,1
CHEMBL1630909,0,1,1,1,0,0,0,1,1
CHEMBL1630910,1,1,1,1,1,1,1,1,1
CHEMBL1630911,1,1,1,1,1,1,1,1,1
CHEMBL1630911,1,1,1,1,1,1,1,1,1
CHEMBL163413,0,0,0,1,1,1,0,0,0
CHEMBL163420,0,0,0,1,1,1,0,0,0
CHEMBL163922,0,0,0,0,1,0,0,0,0
CHEMBL164,0,0,0,1,0,0,0,0,0
CHEMBL1642686,0,0,0,0,0,0,0,0,0
