molecule_chembl_id,EStateC_6,EStateC_8,EStateC_10,EStateC_11,EStateC_12,EStateC_14,EStateC_15,EStateC_16,EStateC_17,EStateC_18,EStateC_20,EStateC_23,EStateC_24,EStateC_25,EStateC_28,EStateC_29,EStateC_31,EStateC_33,EStateC_34,EStateC_35,EStateC_36,EStateC_37,EStateC_52,EStateC_53,EStateC_69
CHEMBL5287003,4.41399582441001,5.963569014025364,1.7633946680524062,0.0,0.9277336073318212,0.0,1.3062903649113984,0.0,0.0,-0.2973549303980847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.703177304789634,5.789509400982615,0.0,0.0,0.0,0.0,3.179684745894838
CHEMBL5287052,7.386493751049803,13.238644324242042,2.6501436917359538,0.0,3.365701635592508,0.0,1.855554138321996,0.0,0.0,0.7083843537414967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.628411438649534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5287070,7.562355429854563,11.069718326025455,2.418771688226088,22.136978949792248,4.354423648509527,0.0,3.253530020959311,2.6553979398623824,0.0,0.8054671568594278,0.0,0.0,0.0,0.0,0.0,2.375846109149455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5287129,5.568592739564961,4.206327370454355,1.6281414556563365,0.0,-1.0533630952380968,0.0,0.7058431358654589,0.0,0.0,-0.6769969608213657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.87907619992441,5.776292517006803,0.0,0.0,0.0,0.0,0.0
CHEMBL5287331,8.281400339059129,8.638381288792926,0.0,8.21065077801182,2.921410834051976,0.0,1.7847194088753924,1.9890146531168709,0.0,0.395741735358022,0.0,0.0,0.0,0.0,0.0,1.7642153457329774,0.0,0.0,24.896565763016955,5.374264426060086,0.0,0.0,0.0,0.0,0.0
CHEMBL5287457,1.7564766015670492,0.2872790674480476,0.0,18.91137565411609,0.0,5.638173283129542,0.0,2.675404798619792,1.380264751476723,-1.6630368533432651,0.0,0.0,0.0,0.0,4.155169021612,0.0,0.0,11.929891936917098,0.0,5.609067142556951,6.088786454396573,0.0,0.0,12.536703697058948,0.0
CHEMBL5287473,6.634456225165203,10.585263849813016,1.807890211640212,0.0,0.9921399736560264,0.0,1.5361799813297117,0.0,0.0,-0.2828437410476203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.65946971637467,6.067443783068783,0.0,0.0,0.0,0.0,0.0
CHEMBL5287480,2.26629653250189,7.772188116759049,2.162024754346183,0.0,1.3650179778701597,0.0,1.2251762356177045,0.0,0.0,-0.21333947467876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.698749973754936,12.390552550495508,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5287546,4.753799627684458,13.23436803136579,2.071388154027043,10.8117091080012,2.454293925790449,0.0,2.3716726318734214,1.438482098602846,0.0,0.1130591538729408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.25122726878185,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5287563,4.6398943187110575,9.8676702842336,6.023341101872848,10.754853977439344,2.2091818128894243,0.0,2.071303109411581,1.4153284438775513,0.0,-0.0985167783027729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.11694372986737,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL5287750,0.0,0.4498112548126076,3.802249149659864,21.94003619224496,0.0,0.0,0.0,3.881752239931736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1717816136485,0.0,5.754369549702342,0.0,0.0,0.0,0.0,0.0
